Repository Name,Number of Files,Number of Rust Files,Rust Files to Total Files,Total SLOC,Rust SLOC,Rust SLOC to Total SLOC,Languages Used,'Unique' Crates
quick-clicks,65,0,0.0,17802,0,0.0,"['', '.svg', '.idx', '.json', 'JavaScript', '.md', '.html', '.png', '.pack', '.css', '.txt', '.ico', '.rev', '.sample']",[]
lost-and-found-v2,155,0,0.0,63663,0,0.0,"['', '.tsx', '.json', '.html', '.yml', '.css', '.ico', '.idx', 'JavaScript', 'Python', '.txt', '.png', 'TypeScript', '.lock', '.config', '.md', '.pack', '.yaml', '.rev', '.sample']",[]
tartanhacks-dashboard-api,1638,0,0.0,345183,0,0.0,"['', '.json', '.mjs', '.html', '.out', '.yml', '.patch', '.css', '.idx', 'JavaScript', '.txt', '.png', 'TypeScript', '.xml', '.lock', '.log', '.bnf', '.markdown', '.md', '.closure-compiler', '.map', '.info', '.pack', '.iml', '.yaml', '.mem', '.esprima', '.rev', '.sample', '.bsd']",[]
print-status-map,79,0,0.0,57414,0,0.0,"['', '.svg', '.idx', '.json', '.local', 'JavaScript', '.md', '.html', '.png', '.pack', '.jpg', 'Python', '.css', '.ico', '.rev', '.sample']",[]
TH-Bot,34,0,0.0,820,0,0.0,"['', '.idx', '.md', 'Python', '.pack', '.rev', '.sample']",[]
pausch-ui-backend,38,0,0.0,5913,0,0.0,"['', '.idx', '.json', 'JavaScript', '.template', '.pack', '.rev', '.sample']",[]
scottypass,69,0,0.0,54869,0,0.0,"['', '.svg', '.idx', '.json', 'JavaScript', '.ejs', '.md', '.pack', '.css', '.png', '.rev', '.sample', 'TypeScript']",[]
plane,56,0,0.0,2339,0,0.0,"['', '.idx', '.html', '.md', 'Python', '.txt', '.pack', '.rev', '.sample']",[]
auto-onboard,68,0,0.0,18421,0,0.0,"['', '.svg', '.sample', '.json', '.idx', 'JavaScript', '.md', '.html', '.png', '.pack', '.css', '.txt', '.ico', '.rev', '.jsx', 'TypeScript', '.lock']",[]
cmueats,165,0,0.0,43391,0,0.0,"['', '.tsx', '.json', '.html', '.toml', '.yml', '.css', '.example', '.ico', '.idx', '.svg', '.txt', '.png', 'TypeScript', '.lock', '.xml', '.md', '.pack', '.jpg', '.rev', '.webp', '.sample']",[]
cmucourses,155,0,0.0,16229,0,0.0,"['', '.cjs', '.json', '.mjs', '.tsx', '.toml', '.prisma', '.yml', '.css', '.ico', '.idx', '.svg', 'TypeScript', '.lock', '.md', '.pack', '.template', '.rev', '.sample']",[]
passlink-server,37,0,0.0,1292,0,0.0,"['', '.idx', '.json', 'JavaScript', '.pack', '.rev', '.sample', 'TypeScript']",[]
passlink,35,0,0.0,1095,0,0.0,"['', '.idx', '.json', 'JavaScript', '.pack', '.rev', '.sample', 'TypeScript']",[]
web,147,0,0.0,712894,0,0.0,"['', '.tsx', '.json', '.toml', '.yml', '.pdf', '.idx', '.svg', 'JavaScript', '.png', 'TypeScript', '.lock', '.scss', '.md', '.pack', '.jpg', '.rev', '.sample', '.jpeg']",[]
moneyprinter,58,0,0.0,4987,0,0.0,"['', '.idx', '.ipynb', '.png', '.html', '.md', 'Python', '.css', '.txt', '.pack', '.rev', '.sample']",[]
scottylol,101,0,0.0,2666,0,0.0,"['', '.idx', '.cjs', '.json', '.mjs', '.tsx', '.toml', '.md', '.yaml', '.yml', '.css', '.xml', '.pack', '.rev', '.sample', 'TypeScript', '.lock']",[]
lost-and-found,133,0,0.0,29041,0,0.0,"['', '.cjs', '.json', '.mjs', '.tsx', '.toml', '.prisma', '.yml', '.sh', '.css', '.example', '.idx', '.svg', '.png', 'TypeScript', '.lock', '.md', '.pack', '.sql', '.rev', '.sample']",[]
